title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
Adidas Women's Sz 9,adidas,Unknown,Male,Other,45.0,150.0,9,Unknown,Unknown,Shoes,98
Adidas,adidas,Unknown,Unisex,Other,34.0,50.0,8,Unknown,Unknown,Other,363
Vintage NIKE USA Dream Team Basketball Jersey Larry Bird XL,Nike,red,Unisex,Other,30.0,75.0,XL,Unknown,Unknown,Other,0
Fordham University Nike Dri Fit Maroon T-Shirt Large,Nike,Unknown,Unisex,Shirt,20.0,45.0,L,Unknown,Unknown,Other,126
Nike dri-fit black mens short sleeve shirt excellent condition size medium,Nike,black,Male,Shirt,10.0,10.0,M,not_nwt,Unknown,Other,57
Nike Court Legacy Mule Sneakers Sz 7 New,Nike,Unknown,Unisex,Shoe,32.0,99.0,7,nwt,Unknown,Shoes,6
Kids' Nike Air Goadome Boots,Nike,black,Unisex,Shoe,40.0,100.0,2BB,not_nwt,Unknown,Other,944
Nike Air Max 270,Nike,white,Unisex,Shoe,23.0,100.0,1BB,not_nwt,Unknown,Other,7
Stunning Nike Air Jordan,Nike,Unknown,Unisex,Other,39.0,130.0,11.5,Unknown,Unknown,Other,29
Nike Dri-Fit NFL On Field Apparel 1/2 Zip SF 49ers Size XXL Color Black NWT,Nike,black,Male,Other,42.0,65.0,XXL,nwt,Unknown,Other,37
Nike Therma-Fit Iowa State Hoodie Color Black Size Medium,Nike,black,Male,Other,25.0,75.0,M,not_nwt,Unknown,Other,59
Men’s Nike Grey Just Run Long Sleeved Shirt,Nike,white,Male,Shirt,9.0,9.0,XL,Unknown,Unknown,Other,415
Nike PG 1 size 11,Nike,black,Unisex,Shoe,120.0,300.0,11,not_nwt,Unknown,Other,720
Nike women’s Juvenate size 8 running black,Nike,black,Male,Other,35.0,140.0,8,Unknown,Unknown,Shoes,15
Nike Vapor 9.5 Tour athletic shoes,Nike,Unknown,Unisex,Shoe,52.0,52.0,9,not_nwt,Unknown,Shoes,34
Nike Men's Benassi Solarsoft,Nike,red,Male,Other,90.0,200.0,11,Unknown,Unknown,Other,76
Nike Therma-Fit Gray Sweats,Nike,gray,Unisex,Other,18.0,18.0,L,Unknown,Unknown,Other,10
Nike Ladies size 8 White w/ pink Logo Vented Fabric Running Shoes Sneakers,Nike,white,Unisex,Shoe,30.0,30.0,8,not_nwt,Unknown,Shoes,52
Nike Air Zoom Pegasus 38 Champagne/White-Barely Rose Women's Size US 11,Nike,red,Unisex,Other,37.0,37.0,11,not_nwt,Unknown,Shoes,104
Nike Mens Short Sleeve Dri-Fit Graphic Printed Tee Blue and Gray Medium,Nike,Unknown,Male,Other,4.0,4.0,M,Unknown,Unknown,Other,8
Nike Court Legacy Lift Shoes,Nike,Unknown,Unisex,Other,10.0,90.0,7.5,Unknown,Unknown,Shoes,0
Nike Court Legacies Shoes,Nike,Unknown,Unisex,Other,10.0,55.0,7.5,Unknown,Unknown,Shoes,0
"Excellent Condition Nike Air Force 1 White/Gold Low Tops, Womens Size 7",Nike,Unknown,Unisex,Shoe,39.0,45.0,7,not_nwt,Unknown,Shoes,18
US Womens 9.5/10 - Mens 8 Nike Air VaporMax Plus,Nike,Unknown,Male,Shoe,120.0,210.0,US 8,Unknown,Unknown,Other,12
Nike Pegasus 30 Coral Gray Women's Running Shoes 599392-604,Nike,Unknown,Male,Other,45.0,45.0,6.5,Unknown,Unknown,Shoes,684
Nike Adult Shirt Red Yellow Button Up USC Trojans Team Logo Pocket Mens Size XL,Nike,red,Male,Shirt,17.0,17.0,XL,not_nwt,Unknown,Other,32
"NEW NIKE AIR MAX 270 Sneakers Pink, Fits Women Wearing Size 8.5",Nike,Unknown,Male,Shoe,144.0,144.0,8.5,nwt,Unknown,Shoes,32
Women’s Nike vapormax,Nike,Unknown,Unisex,Other,42.0,150.0,10,Unknown,Unknown,Shoes,12
Nike | Zoom black walking shoe - 10,Nike,black,Male,Shoe,15.0,15.0,10,Unknown,Unknown,Shoes,631
"Nike Cortez , barely worn ! #nike #y2k #2000shoes",Nike,Unknown,Unisex,Shoe,45.0,160.0,8,Unknown,Unknown,Shoes,272
Nike Blazer Mid 77 Classic Summit White/Pinksicle Youth Size 11.,Nike,Unknown,Unisex,Shoe,36.0,69.0,11.5G,Unknown,Unknown,Other,28
Nike size 8 gray tennis shoes,Nike,gray,Unisex,Shoe,18.0,18.0,8,not_nwt,Unknown,Shoes,150
Beautiful pair of Nike Air Max Excee,Nike,Unknown,Unisex,Shoe,31.0,100.0,9.5,Unknown,Unknown,Shoes,321
Nike Small Sportswear Tech Fleece Washed Full-Zip Mens Hoodie Jacket,Nike,Unknown,Unisex,Jacket,41.0,140.0,S,Unknown,Unknown,Other,59
Nike Free RN Flyknit Size 7.5 Women's Sneaker Athletic Shoes Fuschia Hot Pink,Nike,pink,Male,Shoe,7.0,98.0,7.5,not_nwt,Unknown,Shoes,28
Nike Tank Top  Size S,Nike,white,Unisex,Shirt,10.0,55.0,S,not_nwt,Unknown,Tops,8
Nike dri fit tank size L,Nike,Unknown,Unisex,Other,16.0,30.0,L,not_nwt,Unknown,Tops,133
Nike shorts,Nike,red,Male,Other,15.0,40.0,L,not_nwt,Unknown,Other,91
Mens Nike Shorts,Nike,red,Male,Other,11.0,40.0,L,not_nwt,Unknown,Other,92
Nike vintage athletic womans sneakers shoes 9,Nike,Unknown,Unisex,Other,17.0,999.0,9,Unknown,Unknown,Shoes,1186
"Nike Men's Phantom GT2 Academy FG/MG DA4433-007
Black Soccer Cleats Size US 10",Nike,black,Unisex,Other,44.0,250.0,10,not_nwt,Unknown,Other,24
Nike Women's Revolution White Leopard Print Sneakers 8,Nike,white,Male,Shoe,12.0,75.0,US 8,Unknown,Unknown,Shoes,16
Nike polo shirt,Nike,red,Unisex,Shirt,10.0,55.0,XXL,Unknown,Unknown,Other,54
"Nike React Vision ""Hyper Crimson"" CI7523 104 Women's Running Shoes 8.5",Nike,red,Unisex,Other,39.0,39.0,8.5,not_nwt,Unknown,Shoes,8
Nike tee cat,Nike,Unknown,Unisex,Other,13.0,45.0,SG,Unknown,Unknown,Other,6
Nike Koko size 8 Black & White,Nike,Unknown,Unisex,Other,15.0,15.0,8,Unknown,Unknown,Shoes,31
Nike Size 5 Women’s Court Vision Alta Used DM0113-002 Excellent Condition,Nike,black,Male,Other,39.0,80.0,5,not_nwt,Unknown,Shoes,1
NIKE AIR FORCE 1 HI UT 2.0,Nike,Unknown,Unisex,Other,68.0,160.0,9,not_nwt,Unknown,Shoes,42
Nike Sweatshirt,Nike,red,Unisex,Shirt,20.0,20.0,M,Unknown,Unknown,Other,35
Nike Pullover Hoodie Black Large Center Swoosh Logo NIKE,Nike,black,Unisex,Other,20.0,20.0,L,not_nwt,Unknown,Other,48
Nike Flex TR 5 women’s Black Running Shoes,Nike,black,Male,Shoe,15.0,85.0,8,not_nwt,Unknown,Shoes,2
Nike White and Black Court Legacy LiFT Sneakers,Nike,black,Unisex,Shoe,50.0,90.0,7.5,not_nwt,Unknown,Shoes,16
Kids White Nike Shoes,Nike,white,Unisex,Other,9.0,9.0,10B,not_nwt,Unknown,Other,7
Nike Air Max 270 University Red Sneaker Size 11,Nike,red,Unisex,Shoe,50.0,160.0,11,Unknown,Unknown,Other,31
Men’s Medium Nike Pullover Hooded Sweatshirt Ripped Pouch,Nike,Unknown,Male,Shirt,11.0,11.0,M,not_nwt,Unknown,Other,39
